experience,mean_polarity,mean_subjectivity,n_words,paper_id,rating,review_id,sdev_polarity,sdev_subjectivity
2.0,0.08946190476190477,0.4143904761904762,487.0,H1lmhaVtvr,3,S1l-_6UGtB,0.23278492677044035,0.33443596765686706
0.0,0.12557787698412698,0.3297309027777778,541.0,H1lmhaVtvr,3,HJgmdWcJqr,0.16844512901591333,0.18997134430948084
2.0,0.0488380180425635,0.29283641526823345,831.0,H1lmhaVtvr,6,SJghMgk0YH,0.20102362597018028,0.3002244403175894
2.0,0.09087719298245614,0.2854385964912281,292.0,BJlLQlrFwS,3,Bkg9_8antS,0.13154543432862068,0.31649711162695565
1.0,0.08056051587301587,0.3654126984126984,489.0,BJlLQlrFwS,3,HJl4sAEc5S,0.1699776599525953,0.1961302072630787
1.0,-0.027777777777777776,0.027777777777777776,80.0,BJlLQlrFwS,3,r1geicpRtS,0.06211299937499416,0.06211299937499416
1.0,0.07420224006762469,0.2748326993519301,353.0,H1gXzxHKvH,6,BJeaEz_ptS,0.18251236864119608,0.32940180208504866
1.0,0.0205331541218638,0.30443836405529945,938.0,H1gXzxHKvH,3,rJeVbb-bKH,0.19020928769179798,0.28369677204099625
2.0,0.06337420042643924,0.3517819237147596,1178.0,H1gXzxHKvH,1,Skg1ZY6utH,0.16983353889329827,0.2820926625599624
3.0,0.15133040935672515,0.3628049289891395,307.0,SJe5P6EYvS,8,HklaAK10FS,0.19109484535166138,0.1740839673673032
0.0,-0.026309523809523807,0.34653609831029186,556.0,SJe5P6EYvS,3,rJe0f83x9B,0.18491876368411259,0.2693141981755287
2.0,0.14409722222222224,0.34173611111111113,267.0,SJe5P6EYvS,8,BylUf0l6YB,0.23427878683615327,0.35522892847864523
3.0,0.16249872676343263,0.29331041507512096,291.0,BJgqQ6NYvB,6,H1xVcoRjFS,0.25548722994958045,0.21422778920423738
1.0,0.05541549088771311,0.3650360502225582,735.0,BJgqQ6NYvB,8,SkevyWznYr,0.18322874597633534,0.2570038407753669
2.0,0.05743559718969555,0.21370999219359876,668.0,BJgqQ6NYvB,3,SkenQmO19S,0.18116085813725435,0.2815608522209148
1.0,0.02828768453768454,0.2882877539127539,722.0,BJxVI04YvB,3,r1lOV7t2KS,0.2157003857934859,0.277589983658873
0.0,0.02451159951159951,0.3243650793650794,223.0,BJxVI04YvB,6,rkgiuG8pYH,0.132877782469785,0.21944004945842555
1.0,0.10037037037037037,0.4444444444444444,166.0,BJxVI04YvB,6,HJgsF1xecr,0.21367850804677896,0.06034878050666785
1.0,0.011791180395831559,0.31475814237442146,916.0,BylKL1SKvr,3,r1eGgJ6h5r,0.1979343464452401,0.2456743327971896
1.0,0.2567748917748918,0.3714718614718615,228.0,BylKL1SKvr,6,H1gSNMbatr,0.20055653127872208,0.1889743534920164
1.0,0.026143127705627704,0.3797026779115194,899.0,BylKL1SKvr,3,Bkx40G0oFr,0.19635617366046565,0.23648507536225133
2.0,0.05217456961643008,0.3467543793415886,723.0,SkxzSgStPS,3,S1xxeBsnFB,0.23884221652574217,0.29833783299317135
3.0,0.14192445286195288,0.3182975589225589,414.0,SkxzSgStPS,3,SJxmXHNhtS,0.16132726817680235,0.23826441019202038
1.0,0.20956632653061225,0.4625538548752835,358.0,SkxzSgStPS,6,HJgBCOT4Kr,0.24548919516918594,0.1600206663785572
1.0,0.07274945067558704,0.2500370998950544,735.0,HkxnclHKDr,6,r1lKVtETYH,0.14613568750291933,0.2605120523083007
0.0,0.1203525641025641,0.4567841880341881,226.0,HkxnclHKDr,3,BJxHdQmqFS,0.26657419501222696,0.31632959195988436
1.0,0.07355301527176526,0.2576298701298701,579.0,HkxnclHKDr,3,rJx5HLM-oB,0.10488985039294287,0.186804991883355
1.0,0.020316217732884403,0.30660770402437065,1024.0,rylJkpEtwS,6,H1xTTMZW5H,0.18117012651477096,0.25880877523119544
3.0,0.028107769423558887,0.3396992481203007,289.0,rylJkpEtwS,1,BJxZ6kgRKH,0.24618025305248128,0.16888358807531137
0.0,0.11770833333333332,0.425864898989899,513.0,rylJkpEtwS,8,BygOxqxSYS,0.18376574994343406,0.28806940022055527
1.0,0.08852298495155636,0.3305982045441976,613.0,rke5R1SFwS,8,SkxKwvdptB,0.1809591073740418,0.3082815335442281
